"type","city","street","cost","area"
"2er WG","München Ramersdorf-Perlach","Friedrich-Engels-Bogen","495","16"
"3er WG","München Ludwigsvorstadt-Isarvorstadt","Erhardtstraße","800","20"
"4er WG","München Ludwigsvorstadt-Isarvorstadt","Landwehrstraße 25","750","25"
"5er WG","München Ramersdorf-Perlach","Ramersdorferstrasse 7","550","11"
"3er WG","München Maxvorstadt","Zentnerstraße","622","17"
"4er WG","München Au-Haidhausen","Entenbachstr. 24","698","24"
"2er WG","München Gern","Lenzfriederstraße","800","12"
"3er WG","München Schwabing-Freimann","Leutkircher Str","890","17"
"1-Zimmer-Wohnung","München Parkstadt Solln","Drygalski-Allee","650","36"
"1-Zimmer-Wohnung","München Sendling","Baierbrunner Straße 44","690","21"
"2er WG","München Bogenhausen","Lohengrinstr.","600","18"
"3er WG","München Altstadt-Lehel","Tattenbachstraße 18","1070","16"
"3er WG","München Ludwigsvorstadt-Isarvorstadt","Adlzreiterstraße 13","840","12"
"4er WG","München Obergiesing","Edelweißstraße 4","990","15"
"4er WG","München Ludwigsvorstadt-Isarvorstadt","Maistraße 10","990","19"
"4er WG","München Altstadt-Lehel","Frauenstraße 12","1010","13"
"2er WG","München Schwabing-Freimann","Münchner Freiheit","860","38"
"4er WG","München Neuhausen-Nymphenburg","Leonrodstraße 32","630","15"
"3er WG","München Schwabing-West","Hiltenspergerstrasse 29","600","13"
"3er WG","München Sendling","Lochhamerstr.","600","20"
"2er WG","München Schwabing-Freimann","Heinrich-Geißler-Straße","575","12"
"3er WG","München Au-Haidhausen","Regerstraße","625","28"
"3er WG","München Au-Haidhausen","Haidhausen","625","26"
"4er WG","München Schwabing-Freimann","Wallnerstr. 20","530","11"
"2er WG","München Au-Haidhausen","Walserstraße 4","745","13"
"2er WG","München Schwabing-West","Schleißheimer str. 258","500","20"
"7er WG","München Forstenried","Hunkelestrasse 32","690","19"
"2er WG","München Schwanthalerhöhe-Laim","Straubingerstr.","600","18"
"2er WG","München Untergiesing-Harlaching","Ahornstraße","500","13"
"3er WG","München Bogenhausen","Ismaninger Straße 156","530","15"
"1-Zimmer-Wohnung","München Westpark","Martin-Behaim-Str. 1","850","34"
"3er WG","München Bogenhausen","Wagenbauerstr. 5","470","12"
"4er WG","München Schwabing","Clemensstr/Viktoria","550","20"
