"type","city","street","cost","area"
"1-Zimmer-Wohnung","München Neuhausen-Nymphenburg","Guntherstrasse 15","810","29"
"2er WG","München Milbertshofen-Am Hart","Heimperthstr","650","24"
"3er WG","München Neuhausen-Nymphenburg","Engasserbogen","835","14"
"2er WG","München Ludwigsvorstadt-Isarvorstadt","Klenzestr. 50","495","16"
"3er WG","München Ramersdorf-Perlach","Annette-Kolb-Anger 2","670","15"
"1-Zimmer-Wohnung","München Untergiesing-Harlaching","Vahrner Straße 5","890","26"
"4er WG","München Obergiesing","Schlierseestraße 55","625","20"
"2er WG","München Moosach","Feldmochingerstraße 41B","460","14"
"4er WG","München Pasing","Landsberger Str 470","526","18"
"2er WG","München Ludwigsvorstadt-Isarvorstadt","Lenggrieser Straße 6","750","17"
"1-Zimmer-Wohnung","München Schwabing-West","Theodor Dombartstr","1170","35"
"3er WG","München Solln","Diefenbachstr. 9","560","28"
"3er WG","München Bogenhausen","Von-der-Vring-Straße","685","10"
"2er WG","München Untergiesing-Harlaching","Amerstorfferstraße 10","500","12"
"2er WG","München Sendling","Lenaustraße","920","13"
"3er WG","München Schwanthalerhöhe-Laim","Westendstraße","690","20"
"4er WG","München Au-Haidhausen","Claude-Lorrain-Strasse","725","15"
"6er WG","München Trudering","Elfriedenstr 48","550","15"
"3er WG","München Tutzing","tutzing","500","14"
"5er WG","München Pasing-Obermenzing","Gräfstraße 70","570","24"
"4er WG","München Milbertshofen-Am Hart","Milbertshofner Straße 7","550","8"
"3er WG","München Schwabing-West","Elisabethplatz","450","16"
"3er WG","München Englschalking","Ostpreußenstr.89","462","15"
"3er WG","München Laim","Fürstenrieder Straße","450","15"
"3er WG","München Obergiesing","Sachranger Str. 20","355","11"
"1-Zimmer-Wohnung","München Hadern","Fürstenrieder Straße 282","880","28"
"3er WG","München Schwabing-West","Herzogstr.","620","12"
"2er WG","München Parkstadt Schwabing","Lyonel-Feiniger-Straße 19","712","10"
"5er WG","München Schwabing-Freimann","Völkerstr. 14","750","15"
"2er WG","München Au-Haidhausen","Auerfeldstraße","830","20"
"1-Zimmer-Wohnung","München Schwanthalerhöhe","Ganghoferstraße 3","803","27"
"3er WG","München Bogenhausen","Knappertsbuschstraße","600","12"
"2er WG","München Au-Haidhausen","Taubenstraße 7","800","22"
