"type","city","street","cost","area"
"6er WG","Berlin Zehlendorf","Riemeisterstraße 4","350","25"
"6er WG","Berlin Zehlendorf","Riemeisterstraße 4","350","25"
"2er WG","Berlin Friedrichshain-Kreuzberg","Planufer 71","450","20"
"2er WG","Berlin Wedding","Togostraße 3","525","11"
"2er WG","Berlin Steglitz-Zehlendorf","Winfriedstraße","430","13"
"3er WG","Berlin Kreuzberg","Adalbertstr.","520","22"
"4er WG","Berlin Kreuzberg","Grossbeerenstrasse","390","12"
"4er WG","Berlin Weißensee","Gustav-Adolf Straße","415","18"
"2er WG","Berlin Berlin Rohrdamm","Rohrdamm 55","550","25"
"3er WG","Berlin Moabit","Paulstr.","580","17"
"3er WG","Berlin Neukölln","Juliusstr. 1","380","10"
"4er WG","Berlin Friedrichshain-Kreuzberg","Mehringplatz","400","20"
"2er WG","Berlin Kreuzberg","Tempelherrenstraße","420","18"
"3er WG","Berlin Neukölln","Baumläuferweg 17","650","30"
"2er WG","Berlin Mitte","Albrechtstrasse 21","900","26"
"2er WG","Berlin Schöneberg","Belziger Str. 68","325","20"
"2er WG","Berlin Charlottenburg","Kaiserin-Augusta-Allee","750","24"
"2er WG","Berlin Charlottenburg","Kaiserin-Augusta-Allee","700","24"
"3er WG","Berlin Weißensee","Woelckpromenade","500","20"
"5er WG","Berlin Tegel","Erholungsweg 70a","500","15"
"2er WG","Berlin Oberschöneweide","Schillerpromenade 4","400","16"
"3er WG","Berlin Friedenau","Büsingstraße","565","20"
"2er WG","Berlin Kreuzberg","Fürbringerstraße 9","595","25"
"1-Zimmer-Wohnung","Berlin Gesundbrunnen","Grüntaler Str. 82","650","35"
"2er WG","Berlin Tempelhof-Schöneberg","Blumenthallstr","550","22"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Paul-Robeson Straße","1129","29"
"2er WG","Berlin Köpenick","Gehsener Str. 75","400","13"
"3er WG","Berlin Berlin","Papellale","377","12"
"4er WG","Berlin Wedding","Gesundbrunnen","340","21"
"1-Zimmer-Wohnung","Berlin Neukölln","Britzer Damm","350","36"
"3er WG","Berlin Prenzlauer Berg","Straßburger Str. 8","550","14"
"3er WG","Berlin Charlottenburg","Stendelweg 11a","350","16"
"1-Zimmer-Wohnung","Berlin Friedrichshain","Warschauer Straße 5","580","32"
"3er WG","Berlin Dahlem","Flanganstraße","480","12"
"5er WG","Berlin Schöneberg","Bamberger Straße 27","675","28"
